Angle,Cl,Cd,Cpc,Cps,Cmz,Cmx,Cmy
-30.8,-1.245,0.481,35.726,49.5091,-0.076,-0.85,0.296
-25.8,-1.484,0.329,27.982,49.1283,0.03,-0.988,0.221
-20.8,-1.299,0.208,23.43,46.7435,0.084,-0.831,0.143
-15.8,-0.973,0.119,21.525,45.6152,0.082,-0.61,0.089
-10.8,-0.657,0.066,20.554,43.938,0.062,-0.401,0.055
-5.8,-0.349,0.042,19.867,40.4896,0.036,-0.201,0.037
-3.8,-0.238,0.032,21.612,37.1357,0.02,-0.129,0.032
-2.8,-0.175,0.033,23.6,34.3931,0.011,-0.09,0.03
-1.8,-0.12,0.034,26.113,28.2231,0.005,-0.055,0.029
-0.8,-0.065,0.033,34.27,11.5431,-0.00267,-0.019,0.029333
0.2,-0.003,0.036,556.886,-911.106,-0.013,0.022,0.03
1.2,0.052,0.037,-10.759,94.8657,-0.022,0.059,0.03
2.2,0.107,0.038,1.988,68.1389,-0.03,0.092,0.031
4.2,0.2,0.05,12.7,50.0,0.033,0.082,-0.008
9.2,0.514,0.087,15.799,52.0777,-0.074,0.359,0.052
14.2,0.818,0.146,19.015,50.6333,-0.091,0.561,0.083
19.2,1.12,0.228,21.466,50.7516,-0.097,0.772,0.134
24.2,1.333,0.357,24.789,52.4144,-0.071,0.951,0.208
29.2,1.482,0.501,29.798,52.7407,-0.003,1.069,0.303
34.2,1.568,0.675,33.868,52.9234,0.065,1.154,0.402
